전략,Martin,r3w,r3m,r5w,Ulcer,rec_dd,uw_max,CAGR,MaxDD,COVID,Bear22,tx
A_cash,1.269,0.0183,0.0872,0.0282,3.984,123,750,0.0906,-0.1733,-0.17326077207680846,-0.132908200770105,0.08629297226943927
B_defensive,1.281,0.0165,0.0878,0.0284,4.04,123,750,0.0918,-0.1745,-0.174507228921171,-0.13695707289478598,0.08470040606085719
C_nonequity,1.261,0.0166,0.0873,0.0285,4.067,123,748,0.0913,-0.1754,-0.1754179534148793,-0.13789333577566154,0.08705461639448803
